1,34IO7757,204775,2001,2,374
2,34EI5606,116034,2004,0,265
3,34F7240,72461,2004,1,100
4,34KJP8704,34450,2009,3,411
5,34RPL3081,25873,2005,3,79
6,34MK2511,197262,1991,1,61
7,34V6718,38882,1990,0,256
8,34UUO5541,194856,2012,5,17
9,34F5144,183807,1991,2,10
10,34YGH2747,125262,2010,5,136
11,34EZ244,54394,2001,2,332
12,34HIR3864,201546,2015,0,390
13,34F3049,63652,1992,4,440
14,34IU3484,170846,2009,3,337
15,34K9306,297658,1994,4,318
16,34UHM9333,259041,2015,5,496
17,34DA1017,136784,2013,0,281
18,34Z2111,157880,2015,1,490
19,34V3281,65423,2001,5,366
20,34RK1670,46974,2008,2,168
21,34RE1052,273320,2017,2,446
22,34ENN5806,117611,2000,5,81
23,34CT2216,245658,1989,4,34
24,34IP6808,74269,2007,2,490
25,34DBD4325,65924,2009,5,93
26,34GG2479,121226,2007,4,259
27,34U4189,245761,2005,1,158
28,34K3515,118784,1996,2,47
29,34SA8419,235149,2013,2,21
30,34CB5822,208419,2001,4,28
31,34CD2203,94529,1990,2,225
32,34SD3327,259488,2008,5,253
33,34T175,81113,1988,5,171
34,34A986,195268,2017,4,253
35,34JR138,172737,2006,2,40
36,34FL9206,33457,1991,5,279
37,34EG2104,61421,2014,1,6
38,34FT1896,287409,1997,5,331
39,34VL623,177086,2009,2,391
40,34GR6509,52366,2009,0,62
41,34A944,60941,1991,2,385
42,34O599,178648,2002,0,96
43,34EN3701,145775,2002,3,441
44,34CJ7535,178481,1988,1,354
45,34O8572,287797,1999,2,372
46,34UT2750,189059,2010,2,290
47,34DER5494,194126,2007,2,278
48,34HV7990,165039,1992,4,278
49,34EB2553,100577,2016,2,169
50,34G7544,55485,1991,3,445
51,34TN1053,111865,1993,1,51
52,34O2530,46108,1994,4,25
53,34R5537,58786,2001,4,405
54,34NUO5764,90845,2016,3,136
55,34BI6524,161118,2013,4,339
56,34L8183,147684,2016,5,144
57,34H4340,185867,1996,3,288
58,34E2489,148806,2012,0,394
59,34ZE6775,95109,2010,4,248
60,34V405,115603,1993,4,200
61,34TI8725,65825,1991,3,474
62,34OC8921,113158,2016,4,160
63,34VLA9112,187143,2012,0,30
64,34GV8213,47434,1996,0,399
65,34MM8918,95634,2000,4,329
66,34DL5284,285658,2012,5,356
