2000	2	2	481
2001	4	4	197
1971	1	2	106
2006	2	3	160
2007	3	3	235
1982	1	1	25
1993	2	4	333
1991	5	1	194
1968	0	1	24
1977	2	4	48
1993	4	3	83
2007	1	1	334
1991	5	3	53
2012	5	2	244
1978	2	5	88
1983	1	5	128
1985	1	1	489
1969	0	1	320
1998	2	1	445
1995	4	5	387
1999	5	1	202
1982	0	1	481
2001	1	2	302
2017	1	4	330
1996	4	2	335
1992	4	4	220
1996	0	5	327
1980	1	2	417
1970	4	3	99
2003	4	4	227
2007	5	3	307
2009	2	2	414
1994	4	5	336
1982	1	2	330
1995	2	1	496
2003	4	5	422
2012	0	2	169
1982	5	5	289
1984	2	1	84
2016	5	3	294
1999	4	4	468
1988	3	5	448
1984	1	3	265
2009	0	2	473
2017	1	5	228
1983	2	2	286
1971	0	5	317
2005	1	3	252
1983	5	2	455
1980	5	4	254
1975	1	4	307
2016	2	2	287
1996	0	3	142
1984	2	1	473
1994	4	1	135
2006	5	4	149
1972	1	2	141
1974	3	3	411
1981	0	1	346
1982	0	1	105
1980	3	2	238
1994	1	5	118
1992	5	5	99
2008	2	3	306
2001	5	2	17
1983	2	2	167
1976	5	4	388
1995	3	2	489
2004	3	3	346
1983	3	1	259
1992	2	2	135
1990	4	5	435
1975	1	2	71
2012	2	4	199
1977	0	1	348
1986	1	1	248
1986	1	1	1
1975	0	2	491
1976	3	5	43
2004	3	4	356
1975	2	5	270
1994	4	2	73
1985	2	5	345
1993	5	1	328
1979	4	3	261
1982	1	1	78
1978	1	1	388
2015	0	4	89
1991	4	3	169
1973	3	4	8
2003	2	5	159
1982	3	1	475
1970	4	5	410
2006	2	3	328
2016	4	4	38
1993	0	1	368
1973	0	4	131
1989	2	5	14
1990	4	1	94
2007	5	1	263
1985	3	2	97
1985	3	4	380
1978	0	4	431
1979	5	4	459
1981	2	2	185
2013	3	3	298
2014	0	1	78
1997	3	2	352
2001	2	4	181
2000	2	1	12
1976	4	3	449
1981	3	1	295
2002	4	2	138
1978	1	5	63
2002	1	5	68
1972	4	5	29
2015	0	2	210
1993	3	1	206
2016	1	3	305
2006	3	3	445
2005	1	1	31
1978	3	5	179
2002	4	5	272
1968	3	2	176
1995	3	5	375
1987	0	1	500
1968	4	4	97
2016	3	3	39
2007	5	4	452
1971	1	5	110
1984	5	2	484
2010	0	5	291
1968	2	5	259
2010	5	4	378
1968	2	4	283
2015	2	5	88
1998	3	3	66
1977	4	3	359
1988	1	4	277
1994	1	3	398
1999	5	4	422
2000	2	1	286
2009	1	4	247
1987	4	2	283
1990	2	2	195
1994	0	1	276
1977	0	2	5
1999	4	5	409
1974	4	1	158
1976	4	3	93
2001	2	1	461
2007	1	5	205
1995	5	3	422
1968	3	1	286
2006	5	4	101
1979	3	5	179
1974	3	5	274
1979	3	4	431
1974	1	3	352
1978	2	2	490
2000	3	5	417
1990	2	5	138
1982	5	5	312
2010	4	4	106
2013	5	1	91
2016	3	4	383
2002	2	3	130
1986	0	5	201
1976	0	2	423
2006	0	3	52
1993	5	2	363
2014	3	3	32
2012	0	2	149
1979	0	3	110
1970	1	4	416
2003	0	5	132
2002	2	3	179
1972	0	4	196
1999	2	3	274
1979	1	3	160
2016	5	2	88
2003	5	3	392
1985	1	5	86
1983	2	3	34
2017	4	1	326
1970	2	3	42
2000	2	4	62
1981	2	3	3
2007	4	4	316
1989	0	5	456
1994	3	1	453
1974	3	5	336
1990	1	2	408
1984	1	5	473
1996	0	5	385
1996	0	2	364
1980	0	4	89
1986	3	2	288
1983	3	5	472
2006	2	5	117
2010	2	4	422
1999	3	1	286
1987	1	3	416
1985	3	5	301
1999	1	1	426
1994	1	4	97
1972	3	5	284
2016	3	1	474
1978	5	3	177
1997	4	1	382
2013	3	2	140
1986	5	5	15
1978	2	4	61
2016	5	2	301
1976	4	4	324
1981	5	1	347
2011	2	4	140
1989	2	5	298
2004	2	5	178
2014	5	1	391
2010	2	5	109
1969	3	3	196
1969	1	2	490
1999	1	4	369
1970	1	1	173
1981	4	3	208
1978	1	3	1
1975	0	4	22
2006	1	5	404
2014	1	4	102
1972	5	5	255
1993	5	3	346
1984	1	5	99
1983	2	4	15
1978	1	1	279
1999	1	3	265
1999	1	4	461
1992	2	5	12
2010	5	2	440
1995	0	2	270
2009	1	3	79
2012	0	4	305
1993	2	1	465
1981	0	5	235
1982	0	3	446
1992	5	4	323
2011	3	3	358
1994	4	3	261
2000	0	5	158
1982	3	4	360
1984	4	1	474
1994	1	4	202
1998	1	2	355
1994	1	4	110
2003	2	3	381
2012	2	1	8
1994	0	3	358
2008	3	4	165
1996	1	5	210
1970	5	1	229
2005	0	4	398
2013	2	2	88
1980	3	1	165
1980	1	1	126
1976	5	1	307
1997	5	1	95
1980	4	3	370
1999	4	5	19
1980	5	5	277
1993	2	2	320
2004	2	4	35
1973	3	5	27
2001	1	5	57
1982	0	4	318
1973	1	5	252
1999	5	1	157
1996	2	2	53
2005	0	2	463
1981	4	3	12
1997	2	1	8
1997	1	1	383
2008	5	1	281
1974	2	4	153
2016	1	2	231
1999	2	3	497
2005	3	1	156
2002	5	3	274
1984	2	4	234
1968	4	2	385
1994	1	1	52
2011	1	1	435
1985	1	4	262
1971	1	4	405
2011	2	4	162
1987	1	5	285
1988	1	3	477
2014	2	3	4
1989	5	3	119
2015	5	1	93
1985	4	1	285
1984	5	2	408
2017	4	2	283
2017	5	3	17
2001	3	3	2
1975	3	1	185
2011	0	2	193
2000	1	2	479
1971	1	5	438
1990	5	5	472
1979	4	3	291
1989	2	2	52
2017	1	5	195
1998	0	2	9
2013	2	1	346
1980	3	4	391
2009	2	2	347
1979	5	5	56
1974	0	4	51
1982	1	2	484
1971	2	3	350
2016	5	3	70
1996	5	4	139
1976	0	2	80
2005	3	3	246
1991	4	4	39
2004	3	3	61
2017	3	4	137
2000	3	5	347
2004	1	1	353
1995	0	2	291
1971	3	1	242
1997	3	5	249
1970	0	1	186
2012	3	4	102
2013	1	1	57
2003	4	3	180
1985	2	4	284
2007	5	5	18
1985	3	1	45
1985	1	3	304
2011	4	4	9
2002	5	2	106
1981	5	1	78
2007	3	3	233
2004	3	5	58
1980	5	1	247
1980	2	2	359
1989	3	5	488
2001	0	5	459
1993	0	5	132
2008	1	4	420
1973	4	2	310
2011	5	2	319
1994	1	1	183
2017	0	3	426
2002	3	5	414
2010	2	5	104
1977	0	3	233
1969	3	5	256
1985	5	1	239
2016	2	2	106
1978	3	5	455
1986	5	5	112
1981	4	1	15
1995	5	1	42
1970	5	4	205
1999	1	1	383
1997	3	2	344
2017	4	4	377
2017	4	1	483
1995	0	2	190
1989	5	1	86
2007	3	4	176
1982	4	1	109
1984	5	3	320
1986	2	1	319
2014	3	3	337
1974	4	1	9
1979	2	2	402
1984	0	4	50
2017	5	3	221
1993	2	5	212
1989	1	3	428
1995	2	3	112
1968	1	3	221
1975	3	3	339
1980	5	1	326
2004	4	2	2
1969	3	4	367
1984	4	2	249
2012	0	4	214
2001	5	1	10
2001	2	5	207
2012	0	4	124
2013	2	1	30
1969	2	3	433
1969	1	4	30
1987	4	4	66
1997	0	4	392
2008	2	3	182
