34MK2475	121363	1990	4	430
34ELT6813	149161	1999	5	102
34FJ2664	229886	1998	5	249
34SIU1577	164349	2016	0	60
34ICT5827	263071	1991	0	477
34K666	38202	2013	5	413
34FLF4793	148241	1994	1	470
34H4533	222487	2011	2	314
34KEF9280	277203	2007	4	192
34YF8364	285207	2000	2	471
34IAR4291	214696	2005	5	327
34E5779	41745	1998	3	194
34MME6532	50471	1995	3	312
34R7713	187602	2008	0	44
34SB5099	36713	2016	3	236
34E5914	268782	1991	2	123
34TTE6595	142438	1995	2	181
34F2389	210044	1994	0	120
34OA7090	93276	1997	2	278
34BZY353	27391	2012	2	372
34PY982	266033	1989	2	354
34KFL1341	41384	1991	5	37
34YP3925	133931	2009	2	222
34MN5929	63981	1995	0	190
34J5639	248822	1999	4	479
34L217	169564	2003	1	294
34AA3831	93940	2013	2	198
34M3325	155022	2012	5	445
34YM3557	236968	1996	3	195
34PM2225	181452	1991	4	101
34R31	27432	2008	4	118
34GG6868	187844	1992	1	17
34G747	183476	1990	5	299
34FRT8268	119016	1997	4	206
34CAH4514	26491	2008	4	331
34GMO1197	52060	1995	2	164
34L1899	294674	1990	4	418
34K6872	75490	1989	2	315
34ZFA9829	140063	2015	2	81
34F5577	269956	2013	0	451
34U2685	36160	2010	3	287
34G8533	254703	1989	4	422
34L1168	166959	2002	3	302
34YEY140	199107	1994	3	288
34PBL2441	265378	1993	1	461
34ABI1147	110504	1995	2	326
34LJA8080	26914	2017	3	477
34CO9816	261278	2006	3	210
34CH285	159537	1994	4	493
34F5149	171458	2001	5	79
34DG643	182967	2004	0	249
34DS3705	77022	2000	5	42
34IP1402	223889	2017	2	176
34YVU155	157782	2008	2	394
34F4106	126264	1998	1	175
34HOI1754	161272	2003	1	447
34RU9307	225148	2011	4	241
34U9437	219077	2002	1	191
34ZMF1558	70798	1997	2	65
34ND5723	106231	2013	3	129
34EG5381	58938	2000	1	304
34IDG4430	281285	2000	2	423
34JZ8523	171622	2016	0	220
34F1279	132638	2016	3	276
34OH8337	235024	2005	5	277
34VV8481	20828	2009	4	117
34ZJ9868	68773	2006	4	9
34F5777	116186	2011	2	343
34VBI3086	34928	2001	1	142
34IGT360	175883	1999	2	485
34L9084	179596	2017	2	235
34DUK4583	121512	2017	0	243
34TJA4101	288799	2002	5	289
34MKF2252	216504	2010	2	372
34PC5393	254612	2015	0	409
34AU6605	38334	1989	5	288
34TFB8806	155642	2001	4	136
34OR7693	32229	2004	2	159
34J6785	138221	2011	1	137
34GE2960	152699	1989	5	70
34H408	153901	2007	0	441
34Z5715	98674	1991	1	21
34TTG9371	64746	2008	0	232
34YV3081	33626	2012	2	37
34V3147	45051	2007	0	214
34NK9724	256559	1991	3	366
34EO2854	271363	1998	1	465
34H8070	245135	2003	3	450
34ATG8493	58950	2005	4	107
34KKG4331	287811	1999	5	306
34PBB5692	203259	2003	5	81
34YZ9669	269073	1993	1	138
34CTP1825	296400	1992	2	234
34EM2613	114941	2014	1	298
34Y904	236990	2008	0	251
34SHB5910	89249	1993	2	343
